 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6607] [2449004211 1ms] outbound/shadowsocks[proxy]: outbound connection to 4.bing.com:443
INFO[6616] [3561962100 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37362
INFO[6616] [3561962100 0ms] inbound/mixed[mixed-in]: inbound connection to api.bilibili.com:443
INFO[6616] [3561962100 3ms] outbound/direct[bypass]: outbound connection to api.bilibili.com:443
INFO[6617] [1566411256 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37374
INFO[6617] [1566411256 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6617] [1566411256 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6617] [2565781968 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37380
INFO[6617] [2565781968 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6617] [2565781968 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6617] [3774246525 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37394
INFO[6617] [3774246525 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6617] [3774246525 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6619] [648518107 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37408
INFO[6619] [648518107 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6619] [648518107 8ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
ERROR[6619] [648518107 867ms] inbound/mixed[mixed-in]: process connection from 127.0.0.1:37408: dial tcp 134.195.101.32:2377: connect: no route to host
INFO[6619] [386197011 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37412
INFO[6619] [386197011 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6619] [386197011 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6621] [2094209214 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37426
INFO[6621] [2094209214 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6621] [2094209214 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6621] [2815697065 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37428
INFO[6621] [2815697065 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6621] [2815697065 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6622] [3005441077 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37430
INFO[6622] [3005441077 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6622] [3005441077 2ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
INFO[6624] [2397356132 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:37436
INFO[6624] [2397356132 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6624] [2397356132 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6626] [525420970 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:55674
INFO[6626] [525420970 0ms] inbound/mixed[mixed-in]: inbound connection to api.bilibili.com:443
INFO[6626] [525420970 3ms] outbound/direct[bypass]: outbound connection to api.bilibili.com:443
INFO[6629] [1669377238 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:55686
INFO[6629] [1669377238 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6629] [1669377238 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6634] [1484138757 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:55688
INFO[6634] [1484138757 0ms] inbound/mixed[mixed-in]: inbound connection to profile.accounts.firefox.com:443
